Name,Date,Rating,Title,Content
Emma williams,2025-03-14T12:34:45.000Z,5,So easy to join here,So easy to join here
customerRudy Whyte,2025-03-14T12:22:27.000Z,5,Superior equipment,Superior equipment. Extremely clean. Good atmosphere. Couldn’t ask for anything more. Recommend this gym highly.💯
Codi,2025-03-14T12:18:30.000Z,5,Never been/signed up to a gym,Never been/signed up to a gym. Quick easy and informative.
Rob Purdie,2025-03-14T12:00:45.000Z,5,Very simple and straight forward.,N/A
customer,2025-03-14T11:09:51.000Z,5,Joining experience,"Very easy  to use,"
customer,2025-03-14T11:05:12.000Z,5,Quick and easy booking system.,N/A
customer,2025-03-14T10:30:42.000Z,1,If you're disabled go elsewhere,As a disabled person I'm unable to use the facilities until the manager at Bradford Thornbury eventually reads their emails. Nonetheless they set the start date from the day I joined online so I'm being penalised for the manager's lack of response
customer,2025-03-14T09:47:39.000Z,5,Easy rejoining process,Quick and easy to rejoin
HP,2025-03-14T09:23:13.000Z,5,Easy joining,Easy joining. User experience has been prioritised
GOS,2025-03-14T09:15:25.000Z,4,Shower 1 of 5 working 😕,The changing room and showers not so clean and Just 1 Shower working from 5 .Need ASAP someone to fix that!!!!!!!
Nicola Headon,2025-03-14T09:02:55.000Z,4,Fab gym,"Fab gym, with great atmosphere. Staff and members are lovely.  Classes are on at different times of the day, however it would be nice to have more variety.  Les Mills classes would be a definite bonus!"
Tom Thomas,2025-03-14T04:13:55.000Z,5,Exceptional PT sessions,"I trained with Greg Small at PureGym Southampton Central. Greg is an outstanding personal trainer! He's helped me lose over 10kg, significantly increase my strength, and completely transform my body. What I love most is how he makes our PT sessions both effective and enjoyable. Greg's expertise in body recomposition shines through in his tailored approach. Thanks to his support and knowledge, I've not only achieved great results but also developed a genuine enthusiasm for fitness. If you're looking for a PT who delivers results while keeping workouts fun and engaging, Greg is the one!"
M.R,2025-03-14T03:04:13.000Z,5,Pure gym Winchester,Staff were so friendly. Such a nice gym space and good environment can’t wait to train here. So refreshing
customer,2025-03-14T01:31:59.000Z,5,puregym,an amazing gym i first started here and does exactly what you need it to
Anonymous,2025-03-13T23:20:43.000Z,2,Need more flexible class content,"At the classes I have attended, staff haven’t flexed their session when the majority of the class are struggling. Please come with a plan but when things clearly aren’t working out reassess and mix it up. Expecting us to have barbells on our shoulders for 15 minutes+ with no time to put them down briefly during a class to relieve ache is clearly not going to be comfortable for members."
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Kyra,2025-03-13T23:04:53.000Z,1,Joined with a promotional code but was…,"Joined with a promotional code but was charged full price.Almost impossible to get help, still waiting on a reply."
Denis Callaghan,2025-03-13T23:03:42.000Z,5,Even when it's quite busy there's …,Even when it's quite busy there's  plenty of equipment to use
Dean,2025-03-13T22:50:03.000Z,5,Easy enough to join with a very easy to…,Easy enough to join with a very easy to use website.
Bogdan Vasilev,2025-03-13T22:17:11.000Z,5,Nice gym,Nice gym. Friendly atmosphere and nice people
Debbie Bisp,2025-03-13T22:10:28.000Z,5,Great 24hour gym.,Great 24hour gym.
Wayne Hanney,2025-03-13T22:02:14.000Z,5,Excellent facilities and very clean.,N/A
Gordon McA,2025-03-13T21:46:16.000Z,5,Easy to join,Easy to join - and cheap offer to try it out - very little risk
customer Craig Maddocks,2025-03-13T21:43:57.000Z,5,experience A1,Very easy to join
Artur Majewski,2025-03-13T21:39:07.000Z,5,Good equipment,Good equipment
Adam Mcguinness,2025-03-13T21:30:15.000Z,1,The code didn’t work so I couldn’t get…,The code didn’t work so I couldn’t get in.£7 for a day pass that I couldn’t use.
Miss Elaine Tsang,2025-03-13T20:38:45.000Z,4,I like that there are promotions for…,I like that there are promotions for previous members
Ralph Cox,2025-03-13T19:47:44.000Z,5,simple process,N/A
rabhrab,2025-03-13T19:44:29.000Z,5,Easy to access the offer from Decathlon…,Easy to access the offer from Decathlon of the free 3 day pass to my local Puregym.
Mr P Simmons,2025-03-13T18:10:22.000Z,5,Kindness of Pure Gym,My husband and I have enjoyed complimentary membership for a year (plus) because Pure gym are kind enough to sponsor sufferers of Parkinson’s Disease and their carers. Thank you Pure gym for giving me the chance to fight back.
Mrs Johnson,2025-03-13T17:48:56.000Z,5,It helped me slim down,It helped me slim down
Peter Shaw,2025-03-13T15:18:17.000Z,5,👍👍👍👍👍👍,👍👍👍👍👍👍👍👍👍👍
customer,2025-03-13T14:45:49.000Z,5,Really simple,"Really simple, clear instructions."
Mr Kenneth Bird,2025-03-13T13:26:44.000Z,4,"Getting in with the codes was an issues,","Getting in with the codes was an issues,"
Lucie Sutherland,2025-03-13T13:00:56.000Z,5,Very easy and intuitive.,Very easy and intuitive. All information clearly displayed.
Clare Hawkins,2025-03-13T12:37:58.000Z,5,Very friendly and clean.definitely…,Very friendly and clean.definitely looking forwards to spending more time here and taking part in the wide offering of classes
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Jon Keast,2025-03-13T11:35:31.000Z,5,Simple conversation to confirm hours…,Simple conversation to confirm hours off-peak hours
Allan Braithwaite,2025-03-13T10:05:29.000Z,4,Good reasonably priced gym,"Good reasonably priced gym, short of some essential equipment, i.e. wall bars, paralletts"
Michael Shepherd,2025-03-13T09:26:42.000Z,4,Joining was easy,Joining was easy. I would have liked the option to choose my own PIN or change it to something I would find easier to remember.
John,2025-03-13T08:45:08.000Z,5,"Fantastic gym,1st time there this…","Fantastic gym,1st time there this morning, loved it"
Tracey M,2025-03-13T01:56:30.000Z,5,Excellent gym,Very nice gym very good equipment and choice  spotlessly clean and tidy staff friendly Sophie was really nice and took the time out to explain what classes etc were on offer and approachable can’t wait to join just currently waiting for my existing membership at my other gym to expire but might sign up sooner than later pleasurable experience
BABU PATEL,2025-03-12T23:38:59.000Z,5,unbeatable offer,good offer and affordable subscription
gen oz,2025-03-12T22:42:29.000Z,5,"Very clean ,nice and cool in gym","Very clean ,nice and cool in gym, and good range of equipment , and very friendly"
MARK,2025-03-12T22:40:13.000Z,4,Easy to do and good information.,Easy to do and good information.
a p,2025-03-12T22:16:11.000Z,5,Fully equipped with quality machines.,Fully equipped with quality machines.Hygienic.good manager ( Simon)
customer,2025-03-12T21:52:10.000Z,1,I paid for the monthly fee by mistake,"I paid for the monthly fee by mistake, but I can't change my address."
Roberto Russo,2025-03-12T20:31:59.000Z,5,EXCELLENT GYM,"EXCELLENT GYM, FANTASTIC NEW MANAGER very polite and APPROACHABLE, And ASSISTANT MANAGER is very polite and KNOWLEDGEABLE, VERY easy to ACCESS PT'S plus friendly."
customer,2025-03-12T20:21:41.000Z,5,Easy,Easy to use .
customer,2025-03-12T20:08:49.000Z,5,Good size gym with good range of…,Good size gym with good range of equipment. Very clean.
Mrs W,2025-03-12T19:42:55.000Z,5,Friendly atmosphere,"Friendly atmosphere, easy and convenient"
Sprig Narracott,2025-03-12T19:25:18.000Z,5,Am a better person.,"I use this gym regularly. It's not got the greatest showers or changing room, but that's not what I'm there for! It's got incredible personal trainers and classes. It's good a lot of equipment that I use. I train weights a lot and over the 2 years I've been at this gym I've made huge improvements to my strength and fitness. Over the last 2 years I've seen Courtney Sheriff and she has been the most amazing personal trainer who has helped me so much in confidence in the gym and getting stronger!"
moe,2025-03-12T19:08:24.000Z,5,Facilities was clean and spacious…,Facilities was clean and spacious whilst still being busy.
Rocco Merdono,2025-03-12T18:33:51.000Z,5,Easy membership set up,Easy membership set up. Great gym.
George A,2025-03-12T18:12:07.000Z,1,I went to use a 3 free day pass which…,"I went to use a 3 free day pass which didn't work ,I even got email asking about my experience even though I never used it"
customer,2025-03-12T16:44:32.000Z,5,Easy and clear joining process,N/A
nicholas murphy,2025-03-12T15:38:19.000Z,1,All went smooth but I cant understand…,"All went smooth but I cant understand the £15 joining fee,its a joke.Its me filled the form out ffs."
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Said Isse,2025-03-12T15:31:51.000Z,4,Over all a very good gym,"Over all a very good gym, could do with more machines tho"
Melissa,2025-03-12T15:17:24.000Z,5,I loved the gym facilities,"I loved the gym facilities! All equipment was working, the place was clean. I loved the scale to measure body fat! Nothing to complain about the gym! Unfortunately people have a strong smell of sweat."
customer,2025-03-12T14:17:09.000Z,3,easy joining process-Klarna?Yanga?not sure,"easy joining process-however  did not have Klarna pay options, which is a shame. also did not tell me if i have premium membership with fixed term student membership as i want to use the Yanga drinks station free"
Daria Karunaweera and sonal k,2025-03-12T14:13:45.000Z,1,Trying to pay a miss payment but cannot…,Trying to pay a miss payment but cannot get through at all. Very frustrating!!
Amanda Stephens,2025-03-12T13:54:16.000Z,5,Easy to join,Easy to join and set up a day pass
Loredana,2025-03-12T12:42:03.000Z,2,Should be cheaper,"Not very happy with the experience , been coming to this gym since opening , i work our 5 days a week and every time i come i struggle to find an empty locker inside the changing room , and i think they should offer peak hours to teenagers who come and VAPE inside the gym !!!! occupying the lift section meanwhile some of us really need that section for working out . Am not trying to deny the right of teenagers to work out but still they are very noisy , snapchat constantly , vaping , occupying the equipment useless  , should drop the price for all this madness going on"
Jahmas,2025-03-12T12:40:27.000Z,2,Went with a friend on a guest pass,"Went with a friend on a guest pass, was far too crowded. Needs more machines."
Claire,2025-03-12T10:38:57.000Z,5,Very good online help,"Very good online help, quick response and lovely manner. Process of joining was easy and hassle free"
Emma,2025-03-12T06:53:52.000Z,4,I enjoyed my first visit to the gym,I enjoyed my first visit to the gym. I instantly felt a welcoming all-inclusive atmosphere!! .... definitely going again xx you will not be disappointed!! Lots of equipment in a very clean environment!!
customer,2025-03-12T03:42:21.000Z,5,Just right.,Everything was simple and the rules clear and everyone was so nice and helpful. I’m not sure what’s to say but my first impression is a good one.
SER,2025-03-11T23:55:42.000Z,1,I have joined the gym one month ago…,I have joined the gym one month ago paid the membership plus the 15 £ joining fee which is 42£ paid that and then after one month they charge me the same money when l should pay 27. Never going back to this gym l have cancelled the direct debit.
George,2025-03-11T23:52:54.000Z,5,So far so good!,So far so good!This gym has everything you need in terms of machines and free weights. Friendlier it’s main competitor and a lot less of the poser types who film everything they do.
customer,2025-03-11T23:09:41.000Z,4,Payments have come out for my…,Payments have come out for my membership but the app says my membership has expired and I need to rejoin
customer,2025-03-11T22:48:29.000Z,5,Very nice gym has alot of equipment…,Very nice gym has alot of equipment pretty large space and very good hygeine
Jakub Wojciechowski,2025-03-11T21:37:21.000Z,1,Betrayal,I was offered a discount code which I applied and it was suppose to take my joining fee away and discount my monthly payment by 30% for 3 months and initially I was supposed to pay only £14.95 and once I went to the checkout I was still charged for the joining fee and my member ship price wasn't discounted. I payed for it regardless because I want to go gym however I feel very disappointed by the fact that I was offered something like this and it didn't work I tried refreshing the page multiple times before paying and restarted the membership application process multiple times but the result was still the same without the discount code being applied at the checkout. I just wish I could get atleast 50% refund for this transaction as I don't see this being a fault on my side.
Steven Crookes,2025-03-11T21:08:33.000Z,5,Gyms,Nice place open 24 hours suits me because I work shifts
Ron Upton,2025-03-11T21:07:00.000Z,5,Clear and simple to join,Clear and simple to join. Very informative.
Sally,2025-03-11T20:50:43.000Z,5,Very friendly staff,Very friendly staff. Don't feel out of place or awkward around other members. Lots of equipment to use .very clean . Good range of classes
customer,2025-03-11T20:17:34.000Z,5,Shockingly good Puregym,Lots of machines and high quality equipment and tons of space around.Very good deals and offers.
daniel rebbeck,2025-03-11T20:08:23.000Z,5,Joined through my work,"Joined through my work, very easy to navigate and good choice of categories to choose........however on my 1st trip to the gym I found the showers cold which I was shocked at and a fellow guy said they're all like that at this particular gym!!"
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Kennedy Tumusimwe,2025-03-11T19:56:58.000Z,3,It was easy but the price is a bit…,It was easy but the price is a bit expensive
Jolie Warner,2025-03-11T19:05:37.000Z,5,Jess the manager at Eastbourne was…,"Jess the manager at Eastbourne was lovely, explained everything and made me feel welcomed as a first time gym user"
Customer,2025-03-11T19:00:25.000Z,1,More of a crèche than a gym,"More of a crèche than a gym , filled with teens , not interested in working out , just hanging around, getting in the way and being obnoxious"
Malti,2025-03-11T18:56:11.000Z,5,Helpful staff,Helpful staff Clean and tidy
customer,2025-03-11T18:42:45.000Z,1,No parking cost me £7.50 to park to go…,No parking cost me £7.50 to park to go gym what a joke
Imo,2025-03-11T18:00:54.000Z,5,The staff at pure gym Meteor Derby are very friendly and make you feel welcome on every visit.,The staff at pure gym meteor
Marco B,2025-03-11T17:54:38.000Z,5,Very easy to join,"Very easy to join, spoke with staff, who were very helpful, quick and easy. Thank you Horhay."
Ramzan,2025-03-11T17:51:41.000Z,5,Pure gym,Facilities are great. Very well looked after. Staff are extremely helpful and friendly
customer,2025-03-11T17:50:03.000Z,5,Good gym space,Facilities are good! The space is nice too.
Musa Ali,2025-03-11T17:41:08.000Z,5,Equiptment is great,"Equiptment is great, staff too, people around are always helpful along with the members like myself. Location is also very convenient too"
Gary,2025-03-11T17:29:45.000Z,4,"Good equipment,organised,tidy..","Good equipment,organised,tidy"
stevie,2025-03-11T17:20:48.000Z,5,started with my job as its one of the…,started with my job as its one of the benefits
customer,2025-03-11T17:15:59.000Z,5,Very quick and easy to join,N/A
lynn,2025-03-11T17:14:46.000Z,5,Booked a day pass just to try the gym,"Booked a day pass just to try the gym, haven’t attended yet as they give you a day to choose, excellent website cannot fault"
Maria Sullivan,2025-03-11T17:00:18.000Z,5,experience from the gym,"I am very happy with my experience from the gym. I enjoy the classes most of all, this is where I get most out of the gym. I also have pt sessions with Kristian who is very knowledgable at what he is teaching me. Very easy to get along with"
Pawan,2025-03-11T16:43:46.000Z,5,It’s good I like the kit,It’s good I like the kit
Steph,2025-03-11T15:43:00.000Z,5,Great variety of equipment,Great variety of equipment. Nice and clean
Dan Parsons,2025-03-11T15:32:17.000Z,5,Well good gym well equiped,Well good gym well equiped
kevin tyrrell,2025-03-11T14:34:38.000Z,5,Very easy to join up,Very easy to join up. Great price
Dmitry Grachyov,2025-03-11T13:59:02.000Z,5,Great gym,Great value gym and classes.
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Miss S Migliorini,2025-03-11T12:53:02.000Z,5,"Affordable, Accessible, and Perfect for Any Fitness Level!","PureGym offers affordable, 24/7 access to a wide range of high-quality equipment, spacious workout areas, and a variety of free fitness classes. It’s a great option for anyone looking to stay fit without breaking the bank. Plus, the friendly atmosphere and clean facilities make it an easy choice for beginners and experienced gym-goers alike!"
Mark Geldard,2025-03-11T12:43:59.000Z,5,Great facilities,"Great facilities, latest equipment, plenty to use."
H Neal,2025-03-11T12:28:25.000Z,5,Easy joining process,Easy joining process and very much looking forward to being able to go to the gym after my late working hours
Samantha Gray,2025-03-11T12:16:34.000Z,5,Easy to sign up,N/A
Paul Gibson,2025-03-11T12:15:45.000Z,5,PureGym Newbury is exactly what I need in a gym!,"PureGym Newbury is exactly what I, and many others, need in a gym; well equipped, very clean and kept at the right temp, there is an energetic atmosphere in this gym. The members are also very friendly"
Matthew Mather,2025-03-11T12:10:48.000Z,5,A great gym with plenty of high quality…,"A great gym with plenty of high quality equipment, loads of free weights, and the staff are friendly and helpful. Its also very good value for money!"
Paul S,2025-03-11T12:02:02.000Z,3,Bidston spin studio and bikes needs an upgrade,"I have previously given a review on trust pilot regarding the spin bikes. The response to that was very generic and didn’t address my concerns. Despite paying more per month, the  spin bikes need upgrading. I shouldn’t have to attend the class an hour prior to it just to get a bike that actually works. Pure gym needs to be transparent and tell its customers when or if the bikes are going to be replaced and also fix the music which often cuts out."
Michelle,2025-03-11T12:01:21.000Z,5,Easy to join,Easy to join
customer James,2025-03-13T12:14:55.000Z,5,Issues with accepting postcode,"Issues with accepting postcodeTwo contradictory ""off-peak"" access times on web page. Anja from PureGym was prompt and very helpful in providing a solution as well as a follow up welcome email, which was very much appreciated"
customer,2025-03-11T10:53:49.000Z,1,I was looking forward to starting my…,"I was looking forward to starting my gym routine ,however I could not find the gym! It took me to Morrisons and after driving around for 30mins I had to give up , I am going to work afterwards I could lot have a shower and had to get changed I. The car,not a happy customer !"
Stephen Cameron,2025-03-11T10:34:27.000Z,5,Great gym,"Great gym, great staff 👍"
jon,2025-03-11T10:31:45.000Z,5,Great clean gym,"Great clean gym , staff always on the go .Management are amazing 👏"
Katie,2025-03-11T10:11:28.000Z,5,Very helpful,Very helpful
customer,2025-03-11T09:43:54.000Z,1,Didn’t even let me in the gym for my…,Didn’t even let me in the gym for my free 3 day pass
Daniel Dapaah,2025-03-11T09:11:29.000Z,4,Very friendly and availability of…,Very friendly and availability of equipments to train
Damola Aladesiun,2025-03-11T08:03:57.000Z,5,Great gym,"Great gym, great access and equipment"
customer,2025-03-11T07:39:02.000Z,1,Personal trainers put so loud music in…,Personal trainers put so loud music in the treadmill place .A lot of missing machines
Nancy,2025-03-11T05:20:29.000Z,1,I was bullied in the class l booked on…,I was bullied in the class l booked on Friday in the middle of the whole class by the instructor he was extremely aggressive/He kept on with gestures which made me feel uncomfortable
daniel hughes,2025-03-11T00:07:59.000Z,5,So easy to join,N/A
Ulrich Schmaus,2025-03-10T23:33:26.000Z,5,Fantastic First Experience,"My first experience at Pure Gym was fantastic! The atmosphere was welcoming, the gym was tidy, and the friendly staff guided me through everything from arrival to departure. I felt comfortable, motivated, and ready to come back!"
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
customer,2025-03-10T23:18:44.000Z,5,Was easy to follow the instructions.,Was easy to follow the instructions.
Mujahid Khan,2025-03-12T10:27:01.000Z,4,Good Gym,"Good equipment, good supportive staff."
Daniel lester,2025-03-10T23:01:09.000Z,5,Great gymreally impressed,N/A
Michelle,2025-03-10T22:47:10.000Z,5,Fantastic place,"Fantastic place , do all the classes"
customer,2025-03-10T21:59:07.000Z,5,Easy access and all machines in great…,Easy access and all machines in great condition spin class was great highly recommend
Vampz,2025-03-10T21:10:03.000Z,1,Tried  to use my free 3 day pass to…,Tried  to use my free 3 day pass to find it had expired less than a week after getting it. I was unwell so couldn’t train. But I guess just another marketing ploy to get people to sign up and to an overpriced gym
Justyna,2025-03-10T20:42:22.000Z,4,Lovely class  and supportive staff,"Lovely class  and supportive staff , nice atmosphere."
Mike,2025-03-10T20:25:23.000Z,5,Love this gym,Love this gym. I can just get on with my workouts in a safe clean & friendly environment
KARLY,2025-03-10T20:20:30.000Z,5,Easy,"Easy, quick and efficient and all done online"
IJW,2025-03-10T19:50:57.000Z,5,A great value for money gym,"A great value for money gym, especially outside of peak hours. Equipment is good, gym very clean and staff are very friendly."
LL,2025-03-10T19:15:36.000Z,5,Good standard of gyms,"Good standard of gyms, low monthly price, always spacious, kept clean. I find them good to visit when I’m on my travels. Helpful customer service too"
Edward,2025-03-10T19:08:50.000Z,5,A very clean and well equipped gym.,A very clean and well equipped gym.Friendly staffI would recommend making use of the current free 3 day pass and booking a gym induction. The member of staff will demonstrate how to use the equipment and will make sure that you are executing the movement properly and safely. The company does also sell day passes or weekly if you are interested in trialling out this gym before you commit to a membership.
customer,2025-03-10T18:58:16.000Z,5,Staff member was so helpful and…,Staff member was so helpful and friendly.
David Rushworth,2025-03-10T18:51:52.000Z,5,Easy site to negotiate,"Easy site to negotiate, straightforward procedure."
customer,2025-03-10T18:47:12.000Z,5,Good gym,"Good gym , enjoy coming here alot"
Dorothy,2025-03-10T18:06:48.000Z,5,Free pass won my heart,I went there on the free pass and I absolutely enjoyed my time . The equipment are constantly been cleaned and it has a lot of equipment available. I didn’t have to wait too long to use a particular equipment and the atmosphere is very welcoming. This is gonna be my gym definitely
customer,2025-03-10T16:59:24.000Z,5,Easy joining instructions.,N/A
Customer,2025-03-10T16:30:35.000Z,5,Joining PureGym online was extremely…,Joining PureGym online was extremely easy & was very quick.I look forward to sampling the classes when Uxbridge opens.
customer,2025-03-10T15:58:23.000Z,5,"Easy access, good equipment","Easy access, good equipment."
Jeff Spurling,2025-03-10T15:39:04.000Z,5,I went to the mind and body class…,"I went to the mind and body class hosted by Sadie, she was very good friendly informative and knew her stuff. It was a very relaxing class. I would definitely be going again. my only criticism is it should’ve been 45 minutes instead of half an hour"
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Carolyn,2025-03-10T15:32:06.000Z,1,Extremely unpleasant and untruthful,"I found two managers at PureGym -London Fulham to be extremely unkind, unpleasant, untruthful, and unhelpful today.  Shocking behaviour."
Mrs linda GOODALE,2025-03-10T15:18:45.000Z,5,Excellent Gym,"Friendly staff, excellent equipment and facilities"
Mr Robert Cairns,2025-03-10T14:29:29.000Z,4,Simple to join,"Simple, easy and quick"
Katherine B,2025-03-10T14:10:10.000Z,5,I accessed a free 3 day pass to give me…,"I accessed a free 3 day pass to give me an idea of what is on offer and this helped me decide the right gym for me. Affordable prices, great equipment, lots of women using facilities. I did not like the music, but can use headphones."
Sandra Donnelly,2025-03-10T13:06:42.000Z,5,Very easy to join online very clear…,Very easy to join online very clear instructions with good advice and help.
Summer,2025-03-10T12:59:22.000Z,2,Never been to a gym before,N/A
Allen,2025-03-10T12:46:43.000Z,5,great and easy,great and easy
customer,2025-03-10T11:56:27.000Z,1,I did not use the pass,I did not use the pass  - i got the date wrong
Mr Naveen Baby,2025-03-10T11:27:14.000Z,5,Easy and simple joining process.,Easy and simple joining process.
rezvan aslani,2025-03-10T10:12:54.000Z,5,Perfect and professional,Perfect and professional
Emma,2025-03-10T09:43:57.000Z,3,The reason my experience was good was…,"The reason my experience was good was because I got to the gym at 5:15am so that I can use the machines and be able to complete a good workout.  After 6am it's extremely busy and it's very hard to complete a workout as most machines are in use, or someone is just sitting at the machine watching Facebook on their phones!!! But I have to say that I was extremely disappointed that there were water bottles left at pretty much every machine, throw them away, I don't understand why leave them there. As for the ladies toilets, there wasn't any toilet roll in 2 out of the three toilets, it was a mess in there. They have a cleaner who arrives at 6am when the gym is do busy and he is then hoovering in between the machines and where you're trying to work out. Do it earlier!!"
LR,2025-03-10T09:29:09.000Z,5,Joining was very simple and took less…,Joining was very simple and took less than 3 minutes. My login code was sent within 5 minutes of starting the process!
Mr David Mcevoy,2025-03-10T08:21:02.000Z,5,Quick and handy,Easy to get to and is open 24/7 and very helpful.It clean and they have all the best equipment
customer,2025-03-10T05:51:58.000Z,5,It is amazing,It was very easy to access
Gethin Williams,2025-03-10T02:24:28.000Z,5,Quick and easy questionnaire,Quick and easy questionnaire and probably the quickest I've ever gone through. 👍
Mr Dykes,2025-03-10T01:43:05.000Z,5,The gym is fantastic but didn't get…,The gym is fantastic but didn't get chance to try all the equipment in just one day. I wanted the three day trial to really get into all the various machines but I only managed to get a one day pass ( though a three day pass was advertised) so I was disappointed.
Disappointed customer,2025-03-10T09:47:04.000Z,1,I signed up for the 3 day pass…,"Thank you for your reply and in response it hasn’t even been 24 hours since I signed up, not 7 days!  It said that my expiry date is the 11th. I am grateful for the opportunity to try before I buy but how do I change it to allow me to go on the 10th, the 11th and the 12th as well please, so that I can experience the full 3 days? I signed up for the 3 day pass expecting that it would start the following day but to my dismay it started there and then! It was already gone 8pm so there was no way I was going to the gym there and then. I found it very disappointing"
Aditi k,2025-03-10T00:36:37.000Z,3,No staff on site-a very independent experience.,"Very independent experience-no staff-run out of cleaning towel to clean equipment. It’s a nice open gym with a less crowded vibe compared to others.This branch has natural sunlight which a lot of other gyms don’t have.The running machines have been the same for few years…maybe some more machines?I like the downstairs-has different machines to work your arms compared to other gyms which is nice.Again, more cleaning equipment is needed and the toilets need to be cleaned more often.A lot less staff on site compared to before."
Shalaw,2025-03-10T00:30:22.000Z,5,Noting to explain all great.,N/A
Bryan Gerasmeo,2025-03-10T00:08:08.000Z,5,It was my first time to go to Puregym…,It was my first time to go to Puregym and it was great and perfect.
SW,2025-03-21T14:48:13.000Z,Rated,N/A,N/A
Lucy,2025-03-21T00:01:17.000Z,Rated,N/A,N/A
customer_,2025-03-21T03:50:33.000Z,Rated,N/A,N/A
customer,2025-03-21T04:32:33.000Z,Rated,N/A,N/A
Slenboi Jordan,2025-03-10T00:01:05.000Z,1,no good my mate said,N/A
Josh Line,2025-03-09T23:51:31.000Z,2,I wouldn’t recommend going to puregym I…,I wouldn’t recommend going to puregym I tried a free pass to see if I wanted to rejoin but glad I didn’t. I went at 9pm hoping it wouldn’t be too busy but unfortunately not a lot of machines and was left trying to wait for leg machines and squat racks to be available… people hang on machines for too long stopping anyone else being able to use the gym. Glad it was only a free pass..I won’t be returning and will look at alternative gyms
customer,2025-03-09T23:01:08.000Z,5,Greet sign-up process,Greet sign-up process. Really easy to use.
Harley Flame,2025-03-09T22:51:38.000Z,2,got error page after putting in payment…,got error page after putting in payment details so hope that membership gone through but need to now contact support.
customer,2025-03-09T22:33:12.000Z,5,Nice and feeling fresh,N/A
Mr Eric Caine,2025-03-09T21:50:44.000Z,5,This is a very well set out gym and…,This is a very well set out gym and seems to have enough equipment to cover everybody's needs.
customer,2025-03-09T21:47:08.000Z,5,Grace is very welcoming and has an…,Grace is very welcoming and has an amazing first experience today!
customer,2025-03-09T21:45:46.000Z,5,Amazing gym,"Amazing gym, Grace is very helpful and lovely experience!"
Disappointed hubby,2025-03-09T21:41:21.000Z,5,The joining process,The joining process. Was simple and easy. I also downloaded the app and booked my induction. Cannot wait to start.
Andy,2025-03-09T21:34:13.000Z,5,Easy and clear joining.,N/A
customer,2025-03-09T20:30:57.000Z,5,I feel good more easy best my life,I feel good more easy best my life
Mick Exon,2025-03-09T20:07:36.000Z,5,Rejoining Puregym,Very easy to rejoin and site is very user friendly.
Tee Mutan,2025-03-09T19:41:41.000Z,5,Excellent staff and equipment,Excellent equipment and very helpful staff
customer,2025-03-09T19:31:39.000Z,2,You join and cannot even book any…,You join and cannot even book any classes because they are full and rhe waiting lists are long.
Mrs Kufa Sharlotte Mgazi,2025-03-09T19:25:22.000Z,5,A quiet and friendly environment,A quiet and friendly environment
Kelly,2025-03-09T18:59:25.000Z,2,Couldn't delay 3day pass or use other…,Couldn't delay 3day pass or use other than NOW
Lisa H,2025-03-12T15:21:52.000Z,5,A great first-time experience!,"I purchased a day pass for the gym and, having never attended a PureGym, I didn't know what to expect. I have an expensive membership at what is meant to be a higher end gym, however, in my opinion, PureGym knocked it out of the park. The equipment was modern and extremely clean. Despite me being there at a busy time (from 4.30pm), machines were accessible and it was great to see so many squat racks, doubles of some of the most popular pieces of kit, etc. My usual gym doesn't have the likes of a push/pull sled, for example. A great experience all round. I'd move to PureGym in a shot if there was one convenient to me at home (Monifieth, just outside Dundee!)."
